;ID,   RA(2000),   Dec(2000),   Vlsr,      R,    d_R,   vrms, d_vrms,  vturb,d_vturb,        L,      d_L,     Mlum,   d_Mlum,   Tmax,    Omega,    Theta,      d
 ; ,    [h:m:s],     [d:m:s], [km/s],   [pc],   [pc], [km/s], [km/s],   [km/s],   [km/s],  [10^4*],  [10^4*],  [10^5*],  [10^5*],    [K],[km/s/pc], [degree],   [pc]
  97, 15:00:0.52,  1:53:28.59, 1329.4,  26.41,  12.57,   5.26,   1.87,   5.15,   3.07,   17.174,    6.588,    7.557,    2.899,    3.8,     0.10,    250.4,    362
  98, 15:00:0.64,  1:53:39.59, 1324.6,  21.18,  13.75,   7.24,   3.19,   2.42,   3.43,    4.602,    1.533,    2.025,    0.675,    3.0,     0.16,    264.8,   1578
  99, 15:00:0.36,  1:53:29.59, 1330.6,   0.00,   0.00,   4.95,   2.35,   3.41,   2.81,    5.825,    2.183,    2.563,    0.960,    3.8,     0.04,    151.3,    118
 100, 15:00:0.56,  1:53:30.52, 1327.3,   0.00,   0.00,   2.75,   4.36,   0.62,   1.17,    2.979,    4.314,    1.311,    1.898,    4.0,     0.09,    276.2,    573
 101, 15:00:0.20,  1:53:24.89, 1329.5,   0.00,   0.00,   3.42,   2.10,   2.21,   1.71,    3.401,    1.260,    1.496,    0.554,    3.6,     0.05,    197.4,    789
 102, 15:00:0.23,  1:53:27.41, 1330.9,   0.00,   0.00,   2.93,   2.53,   2.19,   3.73,    2.142,    2.203,    0.943,    0.969,    3.3,     0.08,     17.5,    538
 103, 15:00:0.26,  1:53:28.03, 1329.9,   0.00,   0.00,   3.96,   2.41,   2.58,   2.10,    2.690,    1.386,    1.184,    0.610,    3.1,     0.07,    355.3,    408
 104, 15:00:0.55,  1:53:29.48, 1325.2,  32.39,  22.64,   5.96,   3.63,   3.07,   4.30,   15.412,    9.299,    6.781,    4.092,    5.8,     0.18,    306.6,    474
 105, 15:00:0.57,  1:53:31.10, 1326.8,  22.31,  15.58,   6.12,   1.59,   4.72,   2.20,   13.822,    3.797,    6.082,    1.671,    5.0,     0.09,    280.5,    625
 106, 15:00:0.91,  1:53:39.37, 1330.4,   0.00,   0.00,   2.67,   3.33,   -NaN,    NaN,    0.519,    1.725,    0.228,    0.759,    3.5,      NaN,     -NaN,   2162
 107, 14:59:****,  1:53:28.20, 1333.3,   0.00,   0.00,   1.92,   3.32,   1.31,   2.66,    0.882,    2.124,    0.388,    0.935,    3.2,     0.03,    291.5,   1558
 108, 15:00:0.33,  1:53:29.68, 1331.3,   0.00,   0.00,   3.66,   3.95,   1.62,   3.36,    1.652,    1.752,    0.727,    0.771,    3.5,     0.09,    122.5,    191
