;ID,   RA(2000),   Dec(2000),   Vlsr,      R,    d_R,   vrms, d_vrms,  vturb,d_vturb,        L,      d_L,     Mlum,   d_Mlum,   Tmax,    Omega,  d_Omega,    Theta,  d_Theta,      d
 ; ,    [h:m:s],     [d:m:s], [km/s],   [pc],   [pc], [km/s], [km/s],   [km/s],   [km/s],  [10^4*],  [10^4*],  [10^5*],  [10^5*],    [K],[km/s/pc],[km/s/pc], [degree], [degree],   [pc]
 143, 12:27:26.6,  11:06:26.6, 1182.5,  35.38,   1.94,  14.22,   0.96,   5.01,   0.47,    17.19,     1.07,     8.01,     0.50,    5.2,     0.91,     0.02,     155.,       2.,    239
 144, 12:27:26.6,  11:06:28.5, 1193.1,   0.00,   0.00,   2.65,   1.38,   1.90,   1.94,     0.26,     0.17,     0.12,     0.08,    2.7,     0.00,     0.00,       0.,       0.,    233
 145, 12:27:26.6,  11:06:29.2, 1190.6,  19.83,   3.69,   5.25,   1.32,   2.87,   1.00,     2.82,     0.44,     1.31,     0.20,    4.2,     0.43,     0.11,     212.,      19.,    381
 146, 12:27:26.6,  11:06:28.3, 1194.1,   9.33,   6.83,   3.03,   1.35,   2.05,   1.36,     0.86,     0.36,     0.40,     0.17,    2.8,     0.10,     0.14,     214.,     116.,    185
 147, 12:27:26.6,  11:06:27.2, 1200.4,   0.00,   0.00,   4.14,   2.30,   2.22,   2.19,     0.69,     0.35,     0.32,     0.16,    2.5,     0.00,     0.00,       0.,       0.,    106
 148, 12:27:26.6,  11:06:28.1, 1206.8,   0.00,   0.00,   4.66,   1.67,   3.26,   1.78,     1.17,     0.47,     0.54,     0.22,    2.8,     0.00,     0.00,       0.,       0.,    139
 149, 12:27:26.6,  11:06:27.0, 1202.7,   0.00,   0.00,   5.08,   1.75,   3.58,   1.45,     1.86,     0.52,     0.87,     0.24,    3.1,     0.00,     0.00,       0.,       0.,    157
 150, 12:27:26.6,  11:06:27.9, 1207.9,   0.00,   0.00,   2.62,   2.19,   2.35,   2.16,     0.59,     0.34,     0.27,     0.16,    2.8,     0.00,     0.00,       0.,       0.,     86
 151, 12:27:26.6,  11:06:29.1, 1203.3,  12.83,   6.58,   3.87,   1.15,   3.37,   1.19,     2.01,     0.47,     0.94,     0.22,    2.9,     0.15,     0.23,     133.,     127.,    370
 152, 12:27:26.6,  11:06:25.9, 1210.8,   0.00,   0.00,   1.93,   1.12,   1.46,   1.17,     0.53,     0.19,     0.25,     0.09,    2.9,     0.00,     0.00,       0.,       0.,    397
 153, 12:27:26.6,  11:06:26.1, 1207.5,  20.17,   3.43,   6.05,   1.12,   3.31,   0.86,     3.69,     0.56,     1.72,     0.26,    3.6,     0.49,     0.07,     150.,      10.,    337
 154, 12:27:26.7,  11:06:29.3, 1208.9,   0.00,   0.00,   3.05,   1.47,   2.54,   1.76,     0.39,     0.13,     0.18,     0.06,    2.9,     0.00,     0.00,       0.,       0.,    434
 155, 12:27:26.6,  11:06:27.1, 1216.7,   0.00,   0.00,   7.13,   2.66,   3.92,   2.00,     2.11,     0.64,     0.98,     0.30,    3.2,     0.00,     0.00,       0.,       0.,    126
 156, 12:27:26.6,  11:06:25.9, 1217.1,   0.00,   0.00,   3.64,   1.26,   2.07,   1.24,     0.84,     0.27,     0.39,     0.13,    3.3,     0.00,     0.00,       0.,       0.,    385
 157, 12:27:26.6,  11:06:27.0, 1225.0,   0.00,   0.00,   5.37,   1.76,   4.51,   1.53,     2.41,     0.56,     1.12,     0.26,    3.1,     0.00,     0.00,       0.,       0.,    165
 158, 12:27:26.6,  11:06:28.3, 1220.6,   0.00,   0.00,   2.80,   1.82,   1.80,   1.45,     0.40,     0.21,     0.18,     0.10,    2.7,     0.00,     0.00,       0.,       0.,    215
